"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_POST_SELF";"When I add location to my posts."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SBAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Business."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SBAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Business."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SPAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Page."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SPAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Page."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SGAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Group."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SGAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Group."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SSAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Store."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SSAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Store."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SEAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Event."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SEAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Event."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_STATUS";"When a user (subject) adds location to his posts."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_STATUS";"When I add location to my posts."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_TAGGED_NEW";"When user (subject) adds location to a photo (object) in which some users were already tagged."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_TAGGED_NEW";"When I add location to a photo in which my friends are already tagged."
"{item:$subject} has said that you were in {var:$location} in a {item:$object:$label} in which you were tagged.";"{item:$subject} has said that you were in {var:$location} in a {item:$object:$label} in which you were tagged."
"{var:$location} location has been added to a {item:$object:$label} in which you are tagged.";"{var:$location} location has been added to a {item:$object:$label} in which you are tagged."
"Share location";"Share location"

"Where are you?";"Where are you?"
"in";"in"
"at";"at"
"What are you up to?";"What are you up to?"
"Photos: Auto-suggest Add Location";"Photos: Auto-suggest Add Location"
"This widget enables users to add locations to their photo albums and photos by using the auto-suggest location entity box. This widget can be placed on the album view pages or photo view pages of various content modules as chosen by you from the \"Manage Modules\" section of this plugin.";"This widget enables users to add locations to their photo albums and photos by using the auto-suggest location entity box. This widget can be placed on the album view pages or photo view pages of various content modules as chosen by you from the \"Manage Modules\" section of this plugin."
"User Check-in: Feeds and Locations";"User Check-in: Feeds and Locations"
"Displays all the feeds / status updates and the location markers on the map for the locations associated with them. These feeds contains the feeds updated by users while checking into various contents / places (via the status update box) or the feeds in which users are tagged by their friends. This widget also displays the locations and feeds of adding locations to the photos uploaded by the users or to the photos a user is tagged in. This widget should be placed on the Member Profile page in the Tab Container.";"Displays all the feeds / status updates and the location markers on the map for the locations associated with them. These feeds contains the feeds updated by users while checking into various contents / places (via the status update box) or the feeds in which users are tagged by their friends. This widget also displays the locations and feeds of adding locations to the photos uploaded by the users or to the photos a user is tagged in. This widget should be placed on the Member Profile page in the 
Tab Container."
"Checked-in Users";"Checked-in Users"
"Displays users who have checked-in into the content. Multiple settings are available for this widget. This widget should be placed on the content profile / view pages.";"Displays users who have checked-in into the content. Multiple settings are available for this widget. This widget should be placed on the content profile / view pages."
"Who all users should be displayed in this widget?";"Who all users should be displayed in this widget?"
"Do you want to show profile photos of the checked-in users?";"Do you want to show profile photos of the checked-in users?"
"Do you want to show the display name of the checked-in users";"Do you want to show the display name of the checked-in users"
"Do you want to show the time when users has checked-in to this content?";"Do you want to show the time when users has checked-in to this content?"
"Check-in here Button";"Check-in here Button"
"Displays \'Check-in here\' button on various content profile / view pages to allow users to check-in into them. Multiple settings are available for this widget.";"Displays \'Check-in here\' button on various content profile / view pages to allow users to check-in into them. Multiple settings are available for this widget."
"Do you want users to be able to select the date while checking into this content?";"Do you want users to be able to select the date while checking into this content?"
"How do you want to display the different sentences coming in this widget? (It is recommended to select the option \'In different lines\', if this widget is placed in Right / Left Column)";"How do you want to display the different sentences coming in this widget? (It is recommended to select the option \'In different lines\', if this widget is placed in Right / Left Column)"
"How do you want this widget to be displayed?";"How do you want this widget to be displayed?"
