"Approve Member ?";"Approve Member ?"
"Are you sure that you want to make this Member approve?";"Are you sure that you want to make this Member approve?"
"Approve Member";"Approve Member"
"Make Member Highlighted ?";"Make Member Highlighted ?"
"Are you sure that you want to make this Member highlighted?";"Are you sure that you want to make this Member highlighted?"
"Make Highlighted";"Make Highlighted"
"Make Member Un-highlighted ?";"Make Member Un-highlighted ?"
"Are you sure that you want to make this Member un-highlighted ?";"Are you sure that you want to make this Member un-highlighted ?"
"Make Un-highlighted";"Make Un-highlighted"
"Members of ";"Members of "
"No members request.";"No members request."
"Pages joined by ";"Pages joined by "
"%s Member";"%s Member";"%s Members"
"Remove Member ?";"Remove Member ?"
"Are you sure you want to remove this member from the page ?";"Are you sure you want to remove this member from the page ?"
"Remove Member";"Remove Member"
"Remove Cover Photo?";"Remove Cover Photo?"
"Are you sure you want to remove your Page Cover Photo?";"Are you sure you want to remove your Page Cover Photo?"
"You have successfully approve this member.";"You have successfully approve this member."
"You have ignored the invite to the page.";"You have ignored the invite to the page."
"There are no more requests.";"There are no more requests."
"Requested Members";"Requested Members"
"Reject Request";"Reject Request"
"%1$s has invited you to the page %2$s";"%1$s has invited you to the page %2$s"
"ignore request";"ignore request"
"View Member &raquo;";"View Member &raquo;"
"%s Page Joined";"%s Page Joined";"%s Pages Joined"
"%s Member Join";"%s Member Join";"%s Members Join"
"No members have been joined yet.";"No members have been joined yet."
"%s member";"%s member";"%s members"
"Create an Album";"Create an Album"
"Remove Cover Photo";"Remove Cover Photo"
"Choose from Album Photos";"Choose from Album Photos"
"No announcements have been created yet.";"No announcements have been created yet."
"There are no search results to display.";"There are no search results to display."
"Browse Members";"Browse Members"
"Members by Joined Date";"Members by Joined Date"
"{item:$subject} joined the page {item:$object}.";"{item:$subject} joined the page {item:$object}."
"{item:$subject} has joined you in page {item:$object}.";"{item:$subject} has joined you in page {item:$object}."
"{item:$subject} has requested to join the page {item:$object}.";"{item:$subject} has requested to join the page {item:$object}."
"Your request to join the page {item:$object} has been approved.";"Your request to join the page {item:$object} has been approved."
"{item:$subject} has invited you to the page {item:$object}.";"{item:$subject} has invited you to the page {item:$object}."
"{item:$subject} joined the page {item:$object}.";"{item:$subject} joined the page {item:$object}."
"No such members have joined this page.";"No such members have joined this page."



"No announcements have been posted for this page yet.";"No announcements have been posted for this page yet."
"Make Page Admin";"Make Page Admin"

#Sitemobile
"mobilepagetitle-sitepagemember-browse-sitemobile-index";"Browse Page Members"
"mobilepagetitle-sitepagemember-page-join-sitemobile-index";"Pages Joined"
"Page Profile Members";"Page Profile Members"
"Displays your Page\'s members.";"Displays your Page\'s members."
"Page Profile Cover Photo and Members";"Page Profile Cover Photo and Members"
"Displays the cover photo of a Page. From the Edit Settings section of this widget, you can also choose to display page member’s profile photos, if Page Admin has not selected a cover photo. It is recommended to place this widget on the Page Profile at the top.";"Displays the cover photo of a Page. From the Edit Settings section of this widget, you can also choose to display page member’s profile photos, if Page Admin has not selected a cover photo. It is recommended to place this widget on the Page Profile at the top."
"Do you want to show only those members who have uploaded their profile pictures?";"Do you want to show only those members who have uploaded their profile pictures?"
"Select the information options that you want to be available in this block.";"Select the information options that you want to be available in this block."
"Page Profile Announcements";"Page Profile Announcements"
"Displays list of announcements posted by page admins for their Pages. This widget should be placed on the Page Profile.";"Displays list of announcements posted by page admins for their Pages. This widget should be placed on the Page Profile."
"Joined / Owned Pages";"Joined / Owned Pages"
"Displays pages administered and joined by members on their profiles. This widget should be placed on the Member Profile page.";"Displays pages administered and joined by members on their profiles. This widget should be placed on the Member Profile page."
"Which all Pages related to the user do you want to display in this tab widget on their profile?";"Which all Pages related to the user do you want to display in this tab widget on their profile?"
"Both Pages Administered and Joined by user";"Both Pages Administered and Joined by user"
"Only Pages Joined by user";"Only Pages Joined by user"
"Enter the verb to be displayed for the page admin approved members. (If you do not want to display any verb, then simply leave this field blank.)";"Enter the verb to be displayed for the page admin approved members. (If you do not want to display any verb, then simply leave this field blank.)"
