"Are you sure you want to leave this group? You will leave all it\'s sub-groups too.";"Are you sure you want to leave this circle? You will leave all it\'s sub-circles too."
"Are you sure you want to remove this member from the group? It will remove this member from all it 's sub-groups too.";"Are you sure you want to remove this member from the circle? It will remove this member from all it 's sub-circles too."
"Cannot add a non-member as an officer";"Cannot add a non-member as an officer"
"Cannot remove a non-member as an officer";"Cannot remove a non-member as an officer"

"Invalid Data";"Invalid Data"
"Invalid Method";"Invalid Method"

"You have accepted the invite to the group %s";"You have accepted the invite to the circle %s"
"You have ignored the invite to the group %s";"You have ignored the invite to the circle %s"

"Member Promoted";"This member has been successfully promoted."
"Member Demoted";"This member has been successfully demoted."
"Group member removed.";"This member has been successfully removed from the circle."
"Members invited";"The selected members have been successfully invited."
"Group invite canceled.";"This invitation has been successfully canceled for this user."
"Can not invite a member of group";"Can not invite a member of circle"

"Invite Member";"Invite Member"
"Are you sure you want to resend a invitation to this member?";"Are you sure you want to resend a invitation to this member?"

"The report will be sent to admin.";"The report will be sent to admin."

"Group request approved";"This member's circle request has been approved."
"Member title changed";"This member's title has been successfully changed."

"Changes saved";"Your changes have been saved."
"Photo deleted";"The photo has been successfully deleted."

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Post deleted.";"The selected post has been deleted."
"This has been closed for posting.";"This topic is closed for posting."
"Topic renamed.";"The selected topic has been successfully renamed."
"Topic deleted.";"The selected topic has been deleted."

"All My Groups";"All My Circles"
"Only Groups I Lead";"Only Circles I Lead"
"Search:";"Search:"
"View:";"View:"

"Accept Group Invitation";"Accept Circle Invitation"
"Would you like to join this group?";"Would you like to join this circle?"
"Join Group";"Join Circle"
"Cancel";"Cancel"

"Approve Group Membership Request";"Approve Circle Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this circle?"
"Approve Request";"Approve Request"

"Cancel Group Membership Request";"Cancel Circle Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this circle?"
"Cancel Request";"Cancel Request"

"Demote Member";"Demote Member"
"Are you sure you want to demote this member from officer?";"Are you sure you want to demote this member from officer?"

"Edit Member Title";"Edit Member Title"
"Enter a special title for this person.";"Enter a special title for this person."
"Title";"Title"
"Save Changes";"Save Changes"

"Join Group";"Join Circle"
"Would you like to join this group?";"Would you like to join this circle?"

"Leave Group";"Leave Circle"
"Are you sure you want to leave this group?";"Are you sure you want to leave this circle?"

"Report Group";"Report Circle"
"Report wrong activities of group to admin";"Report wrong activities of circle to admin"

"(Max 256 characters)";"(Max 256 characters)"
