"Delete Topic";"Delete Topic"
"Are you sure you want to delete this topic?";"Are you sure you want to delete this topic?"

"Rename Topic";"Rename Topic"
"Are you sure you want to delete this group?";"Are you sure you want to delete this circle?"

"Group Name";"Circle Name"
"Profile Photo";"Profile Photo"
"Category";"Category"

"Include in search results?";"Include in search results?"
"Yes, include in search results.";"Yes, include in search results."
"No, hide from search results.";"No, hide from search results."

"Let members invite others?";"Let members invite others?"
"Yes, members can invite other people.";"Yes, members can invite other people."
"No, only officers can invite other people.";"No, only officers can invite other people."

"Approve members?";"Approve members?"
"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join this circle, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."

"View Privacy";"View Privacy"
"Who may see this group?";"Who may see this circle?"
"Everyone";"Everyone"
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Members, Officers, and Owner"

"Comment Privacy";"Comment Privacy"
"Who may post on this group's wall?";"Who may post on this circle's wall?"
"Members, Officers, and Owner";"Members, Officers, and Owner"
"Officers and Owner Only";"Officers and Owner Only"

"Photo Uploads";"Photo Uploads"
"Who may upload photos to this group?";"Who may upload photos to this circle?"
"Members, Officers, and Owner Only";"Members, Officers, and Owner Only"
"Officers and Owner Only";"Officers and Owner Only"

"Event Creation";"Event Creation"
"Who may create events for this group?";"Who may create events for this circle?"

"Invite Members";"Invite Members"
"Choose the people you want to invite to this group.";"Choose the people you want to invite to this circle."
"Members";"Members"
"Choose All Friends";"Choose All Friends"
"Send Invites";"Send Invites"

"Group Styles";"Circle Styles"
"Custom Group Styles";"Custom Circle Styles"
"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group.";"You can change the colors, fonts, and styles of your circle by adding CSS code below. The contents of the text area below will be output between <style> tags on your circle."

"%1$s has invited you to the group %2$s";"%1$s has invited you to the circle %2$s"

"This group has %1$s member.";"This circle has %1$s member.";"This circle has %1$s members."
"This group has %1$s member that matched the query ""%2$s"".";"This circle has %1$s member that matched the query ""%2$s"".";"This circle has %1$s members that matched the query ""%2$s""."

"See Waiting";"View invited users and users waiting for approval/rejection"
"View all approved members";"View all approved members"

"This group has %s member waiting approval or waiting for a invite response.";"This circle has %s member waiting approval or waiting for a invite response."
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."

"ADMIN_ACTIVITY_TYPE_GROUP_CREATE";"When a user (subject) creates a new circle (object)."
"ADMIN_ACTIVITY_TYPE_GROUP_JOIN";"When a user (subject) joins a circle (object)."
"ADMIN_ACTIVITY_TYPE_GROUP_PHOTO_UPLOAD";"When a user (subject) uploads a new photo to a circle (object)."
"ADMIN_ACTIVITY_TYPE_GROUP_PROMOTE";"When a user (subject) is given officer status in a circle (object)."
"ADMIN_ACTIVITY_TYPE_GROUP_TOPIC_CREATE";"When a user (subject) creates a new topic in a circle (object)."
"ADMIN_ACTIVITY_TYPE_GROUP_TOPIC_REPLY";"When a user (subject) replies to a topic in a circle (object)."

"_ACTIVITY_ACTIONTYPE_GROUP_CREATE";"New circles"
"_ACTIVITY_ACTIONTYPE_GROUP_JOIN";"Joining a circle"
"_ACTIVITY_ACTIONTYPE_GROUP_PHOTO_UPLOAD";"Uploading a circle photo"
"_ACTIVITY_ACTIONTYPE_GROUP_PROMOTE";"Circle promotions"
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_CREATE";"Creating a circle discussion topic"
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_REPLY";"Replying to a circle discussion topic"

"ACTIVITY_TYPE_COMMENTED_GROUP";"When someone comments on a circle I commented on."
"ACTIVITY_TYPE_COMMENT_GROUP";"When someone comments on one of my circles."
"ACTIVITY_TYPE_LIKED_GROUP";"When someone comments on a circle I liked."
"ACTIVITY_TYPE_LIKE_GROUP";"When someone likes one of my circles."
"ACTIVITY_TYPE_GROUP_APPROVE";"When someone requests to join a circle I created."
"ACTIVITY_TYPE_GROUP_ACCEPTED";"When my request to join a cricle is approved."
"ACTIVITY_TYPE_GROUP_CREATE";"When a new circle is created."
"ACTIVITY_TYPE_GROUP_DISCUSSION_REPLY";"When people reply to discussion topics that I've replied to."
"ACTIVITY_TYPE_GROUP_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_GROUP_INVITE";"When I'm invited to join a circle."
"ACTIVITY_TYPE_GROUP_JOIN";"When a new member joins a circle."
"ACTIVITY_TYPE_GROUP_PHOTO_UPLOAD";"When a new photo is uploaded to a circle."
"ACTIVITY_TYPE_GROUP_PROMOTE";"When I'm given officer status in a circle."
"ACTIVITY_TYPE_GROUP_TOPIC_CREATE";"When a new circle topic is created."
"ACTIVITY_TYPE_GROUP_TOPIC_REPLY";"When someone replies to a circle topic."

"These settings affect all members in your community.";"These settings affect all members in your community."
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."

"Allow Viewing of Groups?";"Allow Viewing of Circles?"
"GROUP_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view circles? If set to no, some other settings on this page may not apply."
"No, do not allow groups to be viewed.";"No, do not allow circles to be viewed."
"Yes, allow viewing and subscription of groups.";"Yes, allow viewing and subscription of circles."
"Yes, allow members to view all groups, even private ones.";"Yes, allow members to view all circles, even private ones."

"Allow Creation of Groups?";"Allow Creation of Circles?"
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create circles? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view circles and manage their subscriptions, but only want certain levels to be able to create circles."
"No, do not allow groups to be created.";"No, do not allow circles to be created."
